iter,loss,event_time,event_times
147,0.01066497545579328,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
148,0.01066497545724741,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
149,0.010664975457311328,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
150,0.010664975456063628,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
151,0.010664975454591776,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
152,0.01066497545396553,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
153,0.010664975454393296,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
154,0.010664975455200856,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
155,0.01066497545552981,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
156,0.010664975455066578,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
157,0.01066497545419711,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
158,0.010664975453571502,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
159,0.010664975453540098,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
160,0.010664975453928785,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
161,0.010664975454271997,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
162,0.010664975454241481,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
163,0.010664975453888715,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
164,0.01066497545353221,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
165,0.010664975453444797,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
166,0.010664975453633633,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
167,0.010664975453878109,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
